start_station_name,end_station_name,num_trips
Harry Bridges Plaza (Ferry Building),2nd at Townsend,4576
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),4199
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,3910
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),3769
Embarcadero at Sansome,Steuart at Market,3754
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),3442
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,3402
Market at 10th,San Francisco Caltrain 2 (330 Townsend),3288
2nd at South Park,Market at Sansome,3284
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,3263
San Francisco Caltrain (Townsend at 4th),Steuart at Market,3125
2nd at Townsend,Harry Bridges Plaza (Ferry Building),3116
Steuart at Market,San Francisco Caltrain (Townsend at 4th),3084
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),3067
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),3019
Steuart at Market,2nd at Townsend,2988
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),2818
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),2805
San Francisco Caltrain (Townsend at 4th),Market at Sansome,2645
Market at 10th,San Francisco Caltrain (Townsend at 4th),2635
2nd at Townsend,Steuart at Market,2600
Steuart at Market,Embarcadero at Sansome,2555
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,2510
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),2405
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,2373
San Francisco Caltrain 2 (330 Townsend),5th at Howard,2356
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,2304
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,2240
San Jose Diridon Caltrain Station,Santa Clara at Almaden,2193
Mountain View City Hall,Mountain View Caltrain Station,2147
Civic Center BART (7th at Market),Townsend at 7th,2144
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),2057
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),2043
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),1883
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),1874
5th at Howard,San Francisco Caltrain 2 (330 Townsend),1874
San Francisco Caltrain 2 (330 Townsend),Market at 10th,1855
Market at Sansome,2nd at South Park,1844
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,1840
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),1794
Santa Clara at Almaden,San Jose Diridon Caltrain Station,1788
San Francisco Caltrain (Townsend at 4th),Beale at Market,1767
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),1749
2nd at Folsom,Market at Sansome,1728
Townsend at 7th,Civic Center BART (7th at Market),1713
San Francisco Caltrain 2 (330 Townsend),Steuart at Market,1707
San Francisco Caltrain 2 (330 Townsend),Howard at 2nd,1694
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,1649
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),1640
Castro Street and El Camino Real,Mountain View Caltrain Station,1635
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,1625
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),1601
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),1599
Embarcadero at Folsom,San Francisco Caltrain 2 (330 Townsend),1595
San Francisco Caltrain (Townsend at 4th),Clay at Battery,1593
Market at 10th,Market at 4th,1592
San Francisco Caltrain (Townsend at 4th),Embarcadero at Bryant,1580
San Francisco Caltrain (Townsend at 4th),Yerba Buena Center of the Arts (3rd @ Howard),1575
Market at Sansome,San Francisco Caltrain (Townsend at 4th),1556
Market at 4th,San Francisco Caltrain (Townsend at 4th),1537
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,1533
5th at Howard,San Francisco Caltrain (Townsend at 4th),1515
Mountain View Caltrain Station,Mountain View City Hall,1484
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,1470
2nd at Townsend,San Francisco Caltrain (Townsend at 4th),1461
2nd at South Park,San Francisco Caltrain (Townsend at 4th),1443
Howard at 2nd,San Francisco Caltrain 2 (330 Townsend),1440
Temporary Transbay Terminal (Howard at Beale),5th at Howard,1436
Harry Bridges Plaza (Ferry Building),Townsend at 7th,1403
San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,1389
San Francisco Caltrain 2 (330 Townsend),Market at Sansome,1388
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),1356
San Francisco Caltrain 2 (330 Townsend),Temporary Transbay Terminal (Howard at Beale),1346
San Jose Diridon Caltrain Station,San Pedro Square,1336
San Francisco Caltrain (Townsend at 4th),Market at 10th,1320
San Francisco Caltrain (Townsend at 4th),Powell Street BART,1312
2nd at Townsend,Market at Sansome,1296
Beale at Market,San Francisco Caltrain (Townsend at 4th),1295
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),1277
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,1257
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),1236
Powell Street BART,San Francisco Caltrain (Townsend at 4th),1229
Grant Avenue at Columbus Avenue,Market at Sansome,1208
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),1207
Spear at Folsom,San Francisco Caltrain (Townsend at 4th),1168
Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,1136
Embarcadero at Vallejo,Steuart at Market,1125
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),1120
Market at Sansome,2nd at Townsend,1095
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),1084
Market at 4th,Temporary Transbay Terminal (Howard at Beale),1083
Harry Bridges Plaza (Ferry Building),2nd at South Park,1077
Evelyn Park and Ride,Mountain View Caltrain Station,1075
Steuart at Market,Townsend at 7th,1072
2nd at Townsend,Temporary Transbay Terminal (Howard at Beale),1051
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,1038
San Francisco Caltrain (Townsend at 4th),5th at Howard,1017
San Francisco Caltrain (Townsend at 4th),2nd at Folsom,1009
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,1005
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),987
